uid,participant_age,participant_gender,participant_native,gt,session,attempt,seed,prompt,gen,similarity,cosine_distance,subjective_score,ts
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,skyscraper_h.jpg,1,1,936099,bridge,logs\gen_images\1622f8ab78424fd89139d233412192a3_session1_iter1.png,66,0.6704,,1754482310
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,skyscraper_h.jpg,1,2,3867479,high tower,logs\gen_images\1622f8ab78424fd89139d233412192a3_session1_iter2.png,72,0.5587,1,1754482350
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,skyscraper_h.jpg,1,3,1694043,upper half of a high glass tower,logs\gen_images\1622f8ab78424fd89139d233412192a3_session1_iter3.png,79,0.4129,1,1754482396
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,skyscraper_h.jpg,1,4,1749049,"upper half of a high cold buisness glass tower, grey tower, grey background clouds. Top of  building is like a triangle facing forward",logs\gen_images\1622f8ab78424fd89139d233412192a3_session1_iter4.png,84,0.3109,1,1754484538
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,skyscraper_h.jpg,1,5,980564,"A futuristic skyscraper with a sleek, angular design rises into a cloudy sky. The building features a dark gray glass facade with sharp geometric cuts and irregular protrusions near the top, giving it a sculptural and modern appearance. Vertical window lines run the height of the tower, accentuating its tall and narrow form. The upper section appears rotated or twisted slightly compared to the lower part, adding to the dramatic, asymmetrical aesthetic. The atmosphere is overcast, with soft, diffused light filtering through the clouds.",logs\gen_images\1622f8ab78424fd89139d233412192a3_session1_iter5.png,80,0.3848,1,1754484607
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,airport_terminal_l.jpg,2,1,2681492,"A nearly empty airport terminal at night, brightly lit with long fluorescent ceiling lights creating strong reflections on the polished floor. The space has a minimalistic design with white walls, gray carpeted flooring, and glass exit doors at the far end. A large white kiosk or partition sits in the center of the foreground. In the background, orange signage and branding for Jetstar (Jetstar Airways) are visible above the check-in counters, along with bright orange queue barriers. A digital flight information screen glows in blue near the entrance, and a few rows of yellow airport chairs line the far right wall, emphasizing the sparse and quiet atmosphere.",logs\gen_images\1622f8ab78424fd89139d233412192a3_session2_iter1.png,83,0.3314,1,1754484741
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,airport_terminal_l.jpg,2,2,1768952,"A nearly empty airport terminal at night, brightly lit with long fluorescent ceiling lights creating strong reflections on the polished floor. The space has a minimalistic design with white walls, gray carpeted flooring, and glass exit doors at the far end. A large white kiosk or partition sits in the center of the foreground. In the background, orange signage and branding for Jetstar (Jetstar Airways) are visible above the check-in counters, along with bright orange queue barriers. A digital flight information screen glows in blue near the entrance, and a few rows of yellow airport chairs line the far right wall, emphasizing the sparse and quiet atmosphere. 2",logs\gen_images\1622f8ab78424fd89139d233412192a3_session2_iter2.png,79,0.4115,1,1754484817
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,airport_terminal_l.jpg,2,3,2351644,"A nearly empty airport terminal at night, brightly lit with long fluorescent ceiling lights creating strong reflections on the polished floor. The space has a minimalistic design with white walls, gray carpeted flooring, and glass exit doors at the far end. A large white kiosk or partition sits in the center of the foreground. In the background, orange signage and branding for Jetstar (Jetstar Airways) are visible above the check-in counters, along with bright orange queue barriers. A digital flight information screen glows in blue near the entrance, and a few rows of yellow airport chairs line the far right wall, emphasizing the sparse and quiet atmosphere. ",logs\gen_images\1622f8ab78424fd89139d233412192a3_session2_iter3.png,79,0.4029,1,1754484847
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,airport_terminal_l.jpg,2,4,411464,"A nearly empty airport terminal at night, brightly lit with long fluorescent ceiling lights creating strong reflections on the polished floor. The space has a minimalistic design with white walls, gray carpeted flooring, and glass exit doors at the far end. A large white kiosk or partition sits in the center of the foreground. In the background, orange signage and branding for Jetstar (Jetstar Airways) are visible above the check-in counters, along with bright orange queue barriers. A digital flight information screen glows in blue near the entrance, and a few rows of yellow airport  chairs line the far right wall, emphasizing the sparse and quiet atmosphere. ",logs\gen_images\1622f8ab78424fd89139d233412192a3_session2_iter4.png,80,0.3934,1,1754484911
1622f8ab78424fd89139d233412192a3,10,Prefer not to say,Yes,airport_terminal_l.jpg,2,5,1656993,"A nearly empty airport terminal at night, brightly lit with long fluorescent ceiling lights creating strong reflections on the polished floor. The space has a minimalistic design with white walls, gray carpeted flooring, and glass exit doors at the far end. A large white kiosk or partition sits in the center of the foreground. In the background, orange signage and branding for Jetstar (Jetstar Airways) are visible above the check-in counters, along with bright orange queue barriers. A digital flight information screen glows in blue near the entrance, and a few rows of yellow airport chairs line the far right wall, emphasizing the sparse and quiet atmosphere. ",logs\gen_images\1622f8ab78424fd89139d233412192a3_session2_iter5.png,81,0.3749,1,1754484946
